id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,price_cad,24h_volume_cad,market_cap_cad
bitcoin,Bitcoin,BTC,1,11478.1,1.0,7441660000.0,193182012835,16830487.0,16830487.0,21000000.0,-0.32,3.34,-8.91,1517107466,14138.2070655,9166301913.3,237952910219
ethereum,Ethereum,ETH,2,1117.51,0.0980421,3015620000.0,108681679336,97253429.0,97253429.0,,0.02,6.26,-1.01,1517107452,1376.49853005,3714505013.1,133869201930
ripple,Ripple,XRP,3,1.25023,0.00010969,616777000.0,48432838517.0,38739142811.0,99993093880.0,100000000000,-0.12,3.84,-17.97,1517107441,1.5399770536,759718153.635,59657391007.0
bitcoin-cash,Bitcoin Cash,BCH,4,1639.25,0.143816,433717000.0,27761805244.0,16935675.0,16935675.0,21000000.0,-0.27,2.43,-16.1,1517107457,2019.15438375,534233083.335,34195742418.0
cardano,Cardano,ADA,5,0.647071,0.00005677,280936000.0,16776655460.0,25927070538.0,31112483745.0,45000000000.0,-0.18,6.09,-4.89,1517107460,0.7970329396,346044322.68,20664729246.0
stellar,Stellar,XLM,6,0.629997,0.00005527,176565000.0,11256824311.0,17868060183.0,103629819514,,-0.02,0.85,22.05,1517107444,0.7760019547,217484821.575,13865649630.0
litecoin,Litecoin,LTC,7,181.76,0.0159463,287585000.0,9988304202.0,54953258.0,54953258.0,84000000.0,-0.11,3.33,-11.33,1517107441,223.8837888,354234261.675,12303143642.0
eos,EOS,EOS,8,14.6863,0.00128847,576261000.0,9274685540.0,631519548.0,900000000.0,1000000000.0,0.03,3.03,1.79,1517107456,18.0899234565,709812368.055,11424140288.0
nem,NEM,XEM,9,1.02299,0.00008975,232345000.0,9206909999.0,8999999999.0,8999999999.0,,-0.05,22.29,-11.86,1517107446,1.2600730474,286192115.475,11340657426.0
neo,NEO,NEO,10,141.236,0.012391,195313000.0,9180340000.0,65000000.0,100000000.0,,-0.13,3.45,-2.95,1517107450,173.96814918,240577764.315,11307929697.0
iota,IOTA,MIOTA,11,2.45916,0.00021575,39515900.0,6835309691.0,2779530283.0,2779530283.0,2779530283.0,-0.36,2.36,-15.7,1517107454,3.0290826258,48673907.4045,8419426888.0
dash,Dash,DASH,12,768.667,0.0674372,119305000.0,6029548374.0,7844162.0,7844162.0,18900000.0,-1.83,0.1,-15.04,1517107442,946.809420585,146954530.275,7426926357.0
monero,Monero,XMR,13,324.589,0.028477,65644400.0,5080958919.0,15653515.0,15653515.0,,-0.77,1.34,-13.53,1517107443,399.814123695,80857817.922,6258496553.0
tron,TRON,TRX,14,0.0682926,0.00000599,274636000.0,4490115009.0,65748192475.0,100000000000,,-0.28,4.34,-17.72,1517107459,0.0841197515,338284266.18,5530721613.0
vechain,VeChain,VEN,15,7.0582,0.00061923,120798000.0,3232328979.0,457953725.0,873378637.0,,1.48,-3.16,-8.79,1517107457,8.693973141,148793540.49,3981437381.0
bitcoin-gold,Bitcoin Gold,BTG,16,190.869,0.0167454,92383600.0,3204628208.0,16789674.0,16889674.0,21000000.0,0.39,6.11,-14.48,1517107461,235.103845095,113793961.218,3947316819.0
icon,ICON,ICX,17,7.94768,0.00069727,46876000.0,3020476077.0,380045004.0,400230000.0,,-0.94,0.33,-19.55,1517107461,9.7895945784,57739747.38,3720486511.0
qtum,Qtum,QTUM,18,40.5797,0.00356016,226580000.0,2996374207.0,73839240.0,100339240.0,,0.35,3.53,-15.28,1517107454,49.9842483735,279091047.9,3690798912.0
ethereum-classic,Ethereum Classic,ETC,19,29.8956,0.00262282,123815000.0,2972700556.0,99436056.0,99436056.0,,0.07,4.89,-11.71,1517107451,36.824054778,152509745.325,3661638773.0
lisk,Lisk,LSK,20,23.3891,0.00205198,53106700.0,2747192375.0,117456096.0,117456096.0,,-0.5,10.43,-5.36,1517107449,28.8096408705,65414443.2585,3383867944.0
raiblocks,RaiBlocks,XRB,21,20.1564,0.00176837,19701200.0,2685805817.0,133248289.0,133248289.0,133248290.0,1.87,15.93,3.11,1517107452,24.827746482,24267051.606,3308254744.0
populous,Populous,PPT,22,60.5734,0.00531426,9716860.0,2241459723.0,37004027.0,53252246.0,53252246.0,-2.38,11.57,27.49,1517107456,74.611588317,11968790.8893,2760929221.0
tether,Tether,USDT,23,0.994193,0.00008722,2028140000.0,2235036160.0,2248090824.0,2250000000.0,,-0.43,-1.1,-1.55,1517107446,1.2246021987,2498171585.7,2753016965.0
omisego,OmiseGO,OMG,24,16.0557,0.00140861,105145000.0,1638364598.0,102042552.0,140245398.0,,-0.29,-2.03,-15.91,1517107457,19.7766887535,129512879.475,2018063786.0
steem,Steem,STEEM,25,6.16478,0.00054085,57289000.0,1525888662.0,247517132.0,264491226.0,,-0.18,1.95,14.97,1517107449,7.5934985889,70566012.195,1879520989.0
stratis,Stratis,STRAT,26,14.7377,0.00129298,113353000.0,1454872676.0,98717756.0,98717756.0,,-0.16,8.83,-4.06,1517107450,18.1532356635,139623124.515,1792046693.0
zcash,Zcash,ZEC,27,456.543,0.0400537,71979400.0,1439014976.0,3151981.0,3151981.0,,-0.13,0.42,-15.3,1517107451,562.349122965,88660985.847,1772513892.0
bytecoin-bcn,Bytecoin,BCN,28,0.00731263,0.00000064,6575710.0,1343263269.0,183690856650,183690856650,184470000000,-0.07,2.19,-5.81,1517107444,0.0090073686,8099663.67105,1654571248.0
siacoin,Siacoin,SC,29,0.0424105,0.00000372,42056400.0,1331526257.0,31396146174.0,31396146174.0,,-0.42,9.49,-16.44,1517107446,0.0522393454,51803180.982,1640114125.0
verge,Verge,XVG,30,0.0909401,0.00000798,49844600.0,1320775594.0,14523577543.0,14523577543.0,16555000000.0,-1.54,4.62,-18.75,1517107444,0.1120159229,61396335.273,1626871942.0
bitshares,BitShares,BTS,31,0.503523,0.00004418,64577500.0,1312941258.0,2607510000.0,2607510000.0,3600570502.0,-1.37,2.23,20.18,1517107444,0.6202169729,79543658.5125,1617221959.0
binance-coin,Binance Coin,BNB,32,13.2357,0.00116121,85651800.0,1310519600.0,99014000.0,197192382.0,,-0.48,1.17,-14.65,1517107457,16.3031396535,105502032.909,1614239070.0
status,Status,SNT,33,0.297972,0.00002614,70017800.0,1034106995.0,3470483788.0,6804870174.0,,0.42,5.32,-9.12,1517107455,0.3670285009,86244775.239,1273766462.0
0x,0x,ZRX,34,2.01926,0.00017715,54385900.0,1012456048.0,501399546.0,1000000000.0,,-2.19,-0.41,3.75,1517107457,2.4872336013,66990104.2545,1247097799.0
walton,Walton,WTC,35,40.4333,0.00354731,85220100.0,1006715501.0,24898178.0,70000000.0,100000000.0,-4.11,6.7,44.92,1517107458,49.8039194415,104970284.275,1240026851.0
ardor,Ardor,ARDR,36,0.986612,0.00008656,15885900.0,985624890.0,998999495.0,998999495.0,998999495.0,-0.15,3.3,-25.7,1517107450,1.2152642641,19567536.7545,1214048386.0
kucoin-shares,KuCoin Shares,KCS,37,10.2958,0.00090328,9458210.0,937361302.0,91043076.0,181043076.0,,-1.36,30.28,-6.01,1517107461,12.681903129,11650197.4585,1154599470.0
augur,Augur,REP,38,84.0039,0.00736988,9397480.0,924042900.0,11000000.0,11000000.0,,-0.16,-0.3,-13.59,1517107447,103.472223844,11575392.9774,1138194462.0
waves,Waves,WAVES,39,9.04701,0.00079372,38107800.0,904701000.0,100000000.0,100000000.0,,-0.88,-0.31,-3.15,1517107449,11.1436998025,46939473.189,1114369980.0
maker,Maker,MKR,40,1429.94,0.125452,1818260.0,884028618.0,618228.0,1000000.0,,-0.5,-2.44,-15.55,1517107453,1761.3357447,2239650.8463,1088906670.0
dogecoin,Dogecoin,DOGE,41,0.00737929,0.00000065,11374100.0,833502659.0,112951606375,112951606375,,-0.64,1.69,-9.87,1517107441,0.0090894774,14010104.5455,1026671068.0
veritaseum,Veritaseum,VERI,42,390.068,0.0342217,521119.0,794430213.0,2036645.0,100000000.0,,1.56,2.81,-6.42,1517107454,480.46820934,641890.933845,978543388.0
hshare,Hshare,HSR,43,16.9111,0.00148365,147432000.0,719592550.0,42551493.0,42551493.0,84000000.0,0.85,0.23,22.26,1517107458,20.8303319805,181600103.16,886361721.0
aeternity,Aeternity,AE,44,3.03909,0.00026663,7380600.0,708170187.0,233020472.0,273685830.0,,0.71,23.39,78.71,1517107455,3.7434143029,9091090.953,872292168.0
rchain,RChain,RHOC,45,2.03388,0.00017844,739979.0,699830221.0,344086289.0,870663574.0,1000000000.0,2.1,9.71,2.18,1517107459,2.5052418594,911472.833145,862019374.0
komodo,Komodo,KMD,46,6.69979,0.00058779,3449550.0,693357944.0,103489504.0,103489504.0,,-0.12,3.16,-13.92,1517107452,8.2524998314,4249000.46025,854047114.0
electroneum,Electroneum,ETN,47,0.111125,0.00000975,3122940.0,664326427.0,5978190570.0,5978190570.0,21000000000.0,-0.86,-0.26,-25.21,1517107461,0.1368787744,3846696.9597,818287398.0
dragonchain,Dragonchain,DRGN,48,2.77212,0.0002432,6385480.0,660934228.0,238421940.0,433494437.0,,-1.73,11.52,-9.08,1517107463,3.4145726706,7865346.9174,814109040.0
ark,Ark,ARK,49,6.65404,0.00058378,3994260.0,651971383.0,97981284.0,131264724.0,,-0.29,0.22,-4.94,1517107453,8.1961470402,4919949.7263,803069011.0
loopring,Loopring,LRC,50,1.12566,0.00009876,8670460.0,631686524.0,561169913.0,1374956857.0,,-1.47,4.1,-11.45,1517107458,1.3865373333,10679882.4573,778083035.0
basic-attention-token,Basic Attention Token,BAT,51,0.628073,0.00005510,31996700.0,628073000.0,1000000000.0,1500000000.0,,-1.37,12.69,-0.27,1517107454,0.7736320581,39412095.2085,773632058.0
decred,Decred,DCR,52,94.3254,0.00827541,1410330.0,626555208.0,6642487.0,7062487.0,21000000.0,0.8,3.88,-17.45,1517107448,116.185783077,1737181.02915,771762510.0
iostoken,IOStoken,IOST,53,0.0844153,0.00000741,95676500.0,573526827.0,6794109922.0,21000000000.0,,-1.79,-6.78,102.33,1517107466,0.1039789679,117850007.257,706444537.0
digibyte,DigiByte,DGB,54,0.0585524,0.00000514,12590300.0,571442590.0,9759507548.0,9759507548.0,21000000000.0,-1.07,5.02,-12.13,1517107442,0.0721222115,15508164.9765,703877267.0
pivx,PIVX,PIVX,55,9.89747,0.00086833,5561090.0,548768278.0,55445309.0,55445309.0,,-0.38,4.82,2.54,1517107448,12.1912581598,6849900.41295,675948070.0
dentacoin,Dentacoin,DCN,56,0.00163903,0.00000014,1160330.0,532996519.0,325190215376,1841395638392,8000000000000,-0.62,-1.07,-23.28,1517107457,0.0020188834,1429242.27915,656521127.0
qash,QASH,QASH,57,1.51385,0.00013281,15157500.0,529847500.0,350000000.0,1000000000.0,,-1.6,8.99,-16.41,1517107463,1.8646923067,18670326.4125,652642307.0
kyber-network,Kyber Network,KNC,58,3.88594,0.00034092,14049200.0,521231612.0,134132697.0,215625349.0,,-0.16,4.09,-7.59,1517107460,4.7865260247,17305172.346,642029645.0
aelf,aelf,ELF,59,2.04425,0.00017935,149320000.0,511062500.0,250000000.0,260000000.0,,1.23,3.31,8.16,1517107465,2.5180151587,183925656.6,629503790.0
zclassic,ZClassic,ZCL,60,158.314,0.0138893,9769350.0,504578381.0,3187200.0,3187200.0,21000000.0,0.61,10.1,0.76,1517107451,195.00406107,12033445.7092,621516943.0
golem-network-tokens,Golem,GNT,61,0.576891,0.00005061,8284130.0,481278239.0,834262000.0,1000000000.0,,-0.24,5.86,-19.01,1517107451,0.7105883737,10204018.5481,592816878.0
gas,Gas,GAS,62,49.8271,0.00437146,20422300.0,478032596.0,9593827.0,14905456.0,100000000.0,-0.34,1.94,-14.3,1517107456,61.3747795605,25155270.1365,588819041.0
digixdao,DigixDAO,DGD,63,232.947,0.0204371,12029600.0,465894000.0,2000000.0,2000000.0,,-0.03,-5.25,13.54,1517107448,286.933631985,14817519.948,573867264.0
byteball,Byteball Bytes,GBYTE,64,717.073,0.0629106,1949900.0,462671313.0,645222.0,1000000.0,,-1.7,2.19,-14.02,1517107452,883.258253115,2401799.0745,569897703.0
cryptonex,Cryptonex,CNX,65,10.0114,0.00087833,364379.0,451380460.0,45086647.0,106524273.0,210000000.0,0.14,18.39,56.83,1517107460,12.331592007,448825.655145,555990138.0
wax,WAX,WAX,66,0.909279,0.00007977,9015640.0,448233209.0,492954537.0,1850000000.0,,1.4,4.69,-17.46,1517107464,1.1200089546,11105059.6482,552113496.0
aion,Aion,AION,67,5.65635,0.00049625,19111000.0,446940652.0,79015735.0,465934587.0,,0.76,24.09,-11.73,1517107460,6.9672373942,23540069.805,550521383.0
funfair,FunFair,FUN,68,0.100627,0.00000883,17389900.0,444679326.0,4419085589.0,10999873621.0,,-1.7,5.39,-13.48,1517107456,0.1239478104,21420096.2745,547735983.0
bytom,Bytom,BTM,69,0.436004,0.00003825,22403100.0,430335948.0,987000000.0,1407000000.0,,0.15,0.6,6.46,1517107458,0.537050107,27595130.4405,530068456.0
ethos,Ethos,ETHOS,70,5.48828,0.0004815,1909940.0,413863158.0,75408536.0,222295208.0,,0.14,1.21,-22.53,1517107456,6.7602163314,2352578.1447,509778014.0
nebulas-token,Nebulas,NAS,71,11.6146,0.00101898,26551500.0,412318300.0,35500000.0,100000000.0,100000000.0,1.32,3.47,4.06,1517107458,14.306341623,32704942.8825,507875128.0
salt,SALT,SALT,72,7.78024,0.00068258,12137100.0,412137962.0,52972397.0,120000000.0,,-1.79,-1.36,-17.18,1517107459,9.5833495212,14949933.6105,507652995.0
factom,Factom,FCT,73,45.9628,0.00403243,7094500.0,401949374.0,8745102.0,8745102.0,,-0.57,2.7,-18.33,1517107447,56.614908714,8738685.8475,495103151.0
smartcash,SmartCash,SMART,74,0.610825,0.00005359,927805.0,390525060.0,639340335.0,1240384614.0,5000000000.0,-4.68,2.49,-28.53,1517107457,0.7523867479,1142828.44778,481031196.0
cindicator,Cindicator,CND,75,0.265754,0.00002332,18396600.0,384274063.0,1445976590.0,2000000005.0,,-2.45,-8.7,26.31,1517107460,0.3273438183,22660104.033,473331498.0
power-ledger,Power Ledger,POWR,76,1.03857,0.00009112,31195900.0,377842894.0,363810715.0,1000000000.0,,-1.08,5.68,-14.39,1517107461,1.2792637903,38425705.8045,465409874.0
dent,Dent,DENT,77,0.0344238,0.00000302,5551240.0,365400408.0,10614760961.0,100000000000,,-0.26,4.31,-22.19,1517107457,0.0424016878,6837767.6262,450083780.0
syscoin,Syscoin,SYS,78,0.677065,0.00005940,4092110.0,359215072.0,530547395.0,530547395.0,888000000.0,-0.23,9.02,-7.99,1517107444,0.8339781991,5040476.95305,442464961.0
monacoin,MonaCoin,MONA,79,6.02195,0.00052832,4963330.0,343371287.0,57019950.0,57019950.0,,-1.98,7.27,-24.65,1517107442,7.4175670223,6113606.54415,422949300.0
reddcoin,ReddCoin,RDD,80,0.0118462,0.00000104,5460380.0,340371665.0,28732561033.0,28732561033.0,,0.32,-1.51,-15.03,1517107442,0.0145916161,6725850.3669,419254500.0
nexus,Nexus,NXS,81,6.06158,0.0005318,1313340.0,335020030.0,55269423.0,55269423.0,,-4.48,2.94,-4.23,1517107446,7.4663814729,1617713.1117,412662597.0
nxt,Nxt,NXT,82,0.330254,0.00002897,11941300.0,329923727.0,998999942.0,998999942.0,1000000000.0,-0.11,4.4,-3.3,1517107441,0.4067920158,14708755.9815,406385200.0
gxshares,GXShares,GXS,83,5.4181,0.00047534,6290900.0,325086000.0,60000000.0,100000000.0,100000000.0,-0.16,2.64,-5.49,1517107455,6.6737717655,7748847.5295,400426306.0
enigma-project,Enigma,ENG,84,4.3387,0.00038064,8028780.0,324691696.0,74836171.0,150000000.0,,-2.43,6.43,-13.61,1517107460,5.3442154185,9889489.9089,399940619.0
request-network,Request Network,REQ,85,0.492571,0.00004321,13249000.0,315924335.0,641378269.0,999999999.0,,0.44,7.45,-13.61,1517107461,0.6067267921,16319521.995,389141379.0
maidsafecoin,MaidSafeCoin,MAID,86,0.69123,0.00006064,4398640.0,312817804.0,452552412.0,452552412.0,,-0.89,6.02,-9.73,1517107443,0.8514260086,5418046.8132,385314894.0
zcoin,ZCoin,XZC,87,75.5392,0.00662725,5212950.0,300283406.0,3975200.0,3975200.0,,0.53,2.62,-13.4,1517107451,93.045787296,6421077.22725,369875587.0
bancor,Bancor,BNT,88,7.35704,0.00064545,21682700.0,299967640.0,40772871.0,79384422.0,,-0.02,4.68,-4.35,1517107456,9.0620708052,26707774.1385,369486641.0
medibloc,MediBloc,MED,89,0.0988453,0.00000867,3040620.0,293213126.0,2966384100.0,4097545844.0,10000000000.0,-0.87,-0.63,-15.78,1517107464,0.1217531925,3745298.8881,361166734.0
kin,Kin,KIN,90,0.000383473,0.00000003,1192240.0,289943000.0,756097560976,10000000000000,,4.24,4.47,-31.98,1517107459,0.0004723448,1468547.5812,357138740.0
particl,Particl,PART,91,31.9807,0.00280575,2145110.0,283069003.0,8851245.0,8851245.0,,-1.14,-0.5,0.15,1517107456,39.3923871285,2642249.96805,348671660.0
neblio,Neblio,NEBL,92,22.0042,0.00193049,5948870.0,280812637.0,12761774.0,13506457.0,,-0.13,12.25,-25.87,1517107459,27.103783371,7327550.36685,345892369.0
bitcore,Bitcore,BTX,93,25.4871,0.00223605,268603.0,277824912.0,10900609.0,16772572.0,21000000.0,-2.11,0.83,-10.88,1517107454,31.3938628605,330853.088265,342212225.0
tenx,TenX,PAY,94,2.58322,0.00022663,14361700.0,270363189.0,104661310.0,205218256.0,,-1.06,9.38,-7.09,1517107456,3.1818941511,17690095.7835,333021210.0
chainlink,ChainLink,LINK,95,0.767358,0.00006732,15138300.0,268575300.0,350000000.0,1000000000.0,,-1.53,7.49,-28.65,1517107459,0.9451970533,18646676.7165,330818969.0
experience-points,Experience Points,XP,96,0.00125304,0.00000011,1379460.0,265999851.0,212283607255,247315375121,,-0.38,1.9,-26.04,1517107450,0.0015434383,1699156.7523,327646647.0
quantstamp,Quantstamp,QSP,97,0.428564,0.00003760,11674400.0,264558630.0,617314171.0,976442388.0,,-0.91,3.13,-14.39,1517107463,0.5278858498,14380000.572,325871416.0
sirin-labs-token,SIRIN LABS Token,SRN,98,2.62979,0.00023072,15260000.0,260190000.0,98939459.0,573145073.0,,4.05,-11.77,34.6,1517107465,3.2392569814,18796581.3,320490334.0
gnosis-gno,Gnosis,GNO,99,234.348,0.0205599,1637380.0,258858457.0,1104590.0,10000000.0,,0.62,7.44,-11.58,1517107454,288.65932074,2016851.0019,318850199.0
gamecredits,GameCredits,GAME,100,3.97016,0.00034831,3014600.0,255501044.0,64355352.0,64355352.0,84000000.0,-2.52,-5.07,-13.3,1517107444,4.8902644308,3713248.623,314714689.0
